Alle Werte in EUR;Stand am 01.01.2017;Zugang;Abgang;Zuschreibungen;Stand am 31.12.2017;Stand am 31.12.2017 (Buchwert);Stand am 31.12.2016 (Buchwert)
Gewerbliche Schutzrechte und ähnliche Rechte und Werte;83627.77;38357.27;0.00;0.00;121985.04;116202.00;87586.00
Summe Immaterielle Vermögensgegenstände;83627.77;38357.27;0.00;0.00;121985.04;116202.00;87586.00
Grundstücke und Bauten;7379734.18;1457806.52;0.00;0.00;8837540.70;36442462.00;27245124.00
Technische Anlagen und Maschinen;2097065.70;290748.47;0.00;0.00;2387814.17;1888071.00;2060958.00
Andere Anlagen, Betriebs- und Geschäftsausstattung;3963270.51;338374.58;-101443.57;0.00;4200201.52;1712442.00;1544325.00
Geleistete Anzahlungen und Anlagen im Bau;0.00;0.00;0.00;0.00;0.00;3822491.72;5197892.39
Summe Sachanlagen;13440070.39;2086929.57;-101443.57;0.00;15425556.39;43865466.72;36048299.39
Ausleihungen an verbundene Unternehmen;0.00;0.00;0.00;0.00;0.00;2000000.00;0.00
Genossenschaftsanteile;0.00;0.00;0.00;0.00;0.00;600.00;0.00
Wertpapiere des Anlagevermögens;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Summe Finanzanlagen;0.00;0.00;0.00;0.00;0.00;2000600.00;0.00
Gesamt;13523698.16;2125286.84;-101443.57;0.00;15547541.43;45982268.72;36135885.39
