Feed; Futter; Quantity [kg]
hay; Heu; 252.760 kg
green fodder; Grünfutter; 421.380 kg
silage; Silage; 83.450 kg
fodder beets; Futterrüben; 81.920 kg
eggs; Eier; 22.680 Stück
flour beetle larvae; Mehlkäferlarven; 1.441,3 kg
dewworms; Tauwürmer; 116.000 Stück
beff and horse meat; Rind- und Pferdefleisch; 22.179 kg
heart meat; Herzfleisch; 2.509 kg
freshwater fish; Süßwasserfische; 13.835 kg
roaches in the aquarium; Plötzen im Aquarium; 1.317 kg
saltwater fish; Salzwasserfische; 45.314 kg
duck pellets; Entenpellets; 17.050 kg
ungulate pellets; Huftierpellets; 20.350 kg
flamingo food; Flamingofutter; 8.375 kg
reindeer pellets; Rentierpellets; 2.580 kg
Sudan grass pellets; Sudangraspellets; 10.150 kg
oatmeal; Haferflocken; 18.575 kg
wheat; Weizen; 12.515 kg
apples; Äpfel; 52.234 kg
banananes; Bananen; 12.644 kg
broccoli; Brokkoli; 1.049 kg
cucumbers; Gurken; 2.748 kg
carrots; Möhren; 53.635 kg
oranges; Orangen; 6.080 kg
potatoes; Kartoffeln; 16.130 kg
tomatoes; Tomaten; 3.879 kg
onions; Zwiebeln; 3.600 kg
dandelion; Löwenzahn; 4.532 kg
parsley; Petersilie; 4.877 kg
