ID,Zoo Name,Country,State,City,Company Form
1,Zoo Heidelberg,DE,BW,Heidelberg,gGmbH
2,Zoologischer Stadtgarten Karlsruhe,DE,BW,Karlsruhe,Stadt
3,Wilhelma,DE,BW,Stuttgart,BW
4,Tier-Freigelände des Nationalparks Bayerischer Wald,DE,BY,Altschönau,
5,Zoologischer Garten Augsburg,DE,BY,Augsburg,GmbH
6,Tierpark Hellabrunn,DE,BY,München,AG
7,Tiergarten Nürnberg,DE,BY,Nürnberg,Stadt
8,Tiergarten Straubing,DE,BY,Straubing,Stadt
9,Tierpark Berlin-Friedrichsfelde,DE,BE,Berlin,AG
10,Zoo Berlin,DE,BE,Berlin,AG
11,Tierpark Cottbus,DE,BB,Cottbus,Stadt
12,Zoo Eberswalde,DE,BB,Eberswalde,Stadt
13,Zoo am Meer Bremerhaven,DE,HB,Bremerhaven,GmbH
14,Tierpark Hagenbeck Hamburg,DE,HH,Hamburg,gGmbH
15,Zoo Vivarium Darmstadt,DE,HE,Darmstadt,Stadt
16,Zoo Frankfurt,DE,HE,Frankfurt,Stadt
17,Opel-Zoo Kronberg,DE,HE,Kronberg,gemeinnützige Stiftung
18,Vogelpark Marlow,DE,MV,Marlow,gGmbH
19,Zoo Rostock,DE,MV,Rostock,gGmbH
20,Zoologischer Garten Schwerin,DE,MV,Schwerin,gGmbH
21,Deutsches Meeresmuseum,DE,MV,Stralsund,Stiftung
22,Zoo Stralsund,DE,MV,Stralsund,Stadt
23,Tierpark Ueckermünde,DE,MV,Ueckermünde,e. V.
24,Erlebniszoo Hannover,DE,NI,Hannover,
25,Serengeti-Park Hodenhagen,DE,NI,Hodenhagen,GmbH
26,Tierpark Nordhorn,DE,NI,Nordhorn,gGmbH
27,Zoo Osnabrück,DE,NI,Osnabrück,gGmbH
28,Weltvogelpark Walsrode,DE,NI,Walsrode,
29,Wingster Waldzoo,DE,NI,Wingst,GmbH
30,Aachener Tierpark,DE,NW,Aachen,AG
31,Tierpark und Fossilium Bochum,DE,NW,Bochum,gGmbH
32,Zoo Dortmund,DE,NW,Dortmund,Stadt
33,Zoo Duisburg,DE,NW,Duisburg,gGmbH
34,Aquazoo Löbbecke Museum Düsseldorf,DE,NW,Düsseldorf,Stadt
35,ZOOM Erlebniswelt Gelsenkirchen,DE,NW,Gelsenkirchen,GmbH
36,Tierpark Hamm,DE,NW,Hamm,gGmbH
37,Kölner Zoo,DE,NW,Köln,AG
38,Zoo Krefeld,DE,NW,Krefeld,gGmbH
39,Allwetterzoo Münster,DE,NW,Münster,GmbH
40,Naturzoo Rheine,DE,NW,Rheine,e. V.
41,Grüner Zoo Wuppertal,DE,NW,Wuppertal,Stadt
42,Zoo Landau in der Pfalz,DE,RP,Landau,
43,Zoo Neuwied,DE,RP,Neuwied,e. V.
44,Zoo Neunkirchen,DE,SL,Neunkirchen,GmbH
45,Zoo Saarbrücken,DE,SL,Saarbrücken,Stadt
46,Tierpark Chemnitz,DE,SN,Chemnitz,Stadt
47,Zoo Dresden,DE,SN,Dresden,GmbH
48,Naturschutz-Tierpark Görlitz,DE,SN,Görlitz,e. V.
49,Zoo Hoyerswerda,DE,SN,Hoyerswerda,GmbH
50,Zoo Leipzig,DE,SN,Leipzig,GmbH
51,Tiergarten Bernburg,DE,ST,Bernburg,GmbH
52,Zoologischer Garten Halle,DE,ST,Halle,GmbH
53,Zoologischer Garten Magdeburg,DE,ST,Magdeburg,gGmbH
54,Tierpark Neumünster,DE,SH,Neumünster,e. V.
55,Arche Warder,DE,SH,Warder,e. V.
56,Thüringer Zoopark Erfurt,DE,Thüringen,Erfurt,Stadt
57,Tierwelt Herberstein,AT,,Herberstein,GmbH
58,Alpenzoo Innsbruck,AT,,Innsbruck,
59,Zoo Linz,AT,,Linz,e. V.
60,Zoo Salzburg,AT,,Salzburg,gGmbH
61,Haus des Meeres,AT,,Wien,GmbH
62,Tiergarten Schönbrunn,AT,,Wien,GmbH
63,Zoologischer Garten Basel,CH,,Basel,
64,Tierpark Bern,CH,,Bern,
65,Natur- und Tierpark Goldau,CH,,Goldau,
66,Walter Zoo,CH,,Gossau,AG
67,Stiftung Wildnispark Zürich,CH,,Langenberg,Stiftung
68,Zoo Zürich,CH,,Zürich,AG
69,Loro Parque,ES,,Puerto de la Cruz,
70,Knies Kinderzoo,CH,,Rapperswil,
